project,file,line,uselib,libraries
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_actionplan.go,517,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_actionplansownedissues.go,232,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_businessfunction.go,121,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_ccupload.go,234,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_conduct.go,331,true,"github.com/eaciit/toolkit, github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_gia.go,268,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_peerreview.go,640,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_peerreviewbusinesssegments.go,31,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_peerreviewplans.go,77,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_personaflip.go,63,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_plans.go,106,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_region.go,165,true,"github.com/eaciit/toolkit, github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_regioncountrymap.go,194,true,"github.com/eaciit/toolkit, github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_riskevent.go,369,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_riskindicator.go,549,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/q_riskindicatormatrix.go,62,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/query/query.go,138,true,"github.com/eaciit/dbox, github.com/eaciit/orm, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/struct/global.go,30,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/main.go,157,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/access_menu.go,44,true,"github.com/eaciit/acl/v1.0, github.com/eaciit/orm/v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/application.go,33,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/group.go,44,true,"github.com/eaciit/acl/v1.0, github.com/eaciit/orm/v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/logapp.go,48,true,"github.com/eaciit/orm/v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_actionplan.go,43,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_actionplansownedissues.go,56,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_businessfunction.go,31,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_conduct.go,67,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_fileupload.go,33,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_peerreview.go,56,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_peerreviewbusinesssegments.go,33,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_peerreviewplans.go,40,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_personaflip.go,18,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_plans.go,54,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_region.go,30,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_regioncountrymap.go,30,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_riskindicator.go,60,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/m_riskindicatormatrix.go,49,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/riskevent.go,92,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/sysmenu_m.go,32,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/sysroles_m.go,47,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/sysusers_m.go,36,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/models/user.go,44,true,"github.com/eaciit/acl/v1.0, github.com/eaciit/orm/v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/webext/init.go,140,true,"github.com/eaciit/acl/v2.0, github.com/eaciit/knot/knot.v1, github.com/eaciit/orm, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/facade/access.go,252,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/facade/external.go,28,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/facade/facade.go,1819,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/helper/helper.go,19,true,"github.com/eaciit/dbox/dbc/mongo, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/logic/api.go,1041,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/logic/api_mtview.go,535,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
